CATE,bedrooms,AREA,school,price
shijingshan,2,54,0,35186
shijingshan,1,37,0,35136
shijingshan,2,50.39,0,35127
shijingshan,2,51,0,34902
shijingshan,2,50.39,0,34730
shijingshan,2,66,0,34697
shijingshan,2,56.7,0,34392
shijingshan,2,56.77,0,34350
shijingshan,2,50,0,34000
shijingshan,2,56.55,0,33599
shijingshan,2,53.99,0,33340
shijingshan,2,52.5,0,33334
shijingshan,2,59,0,33051
shijingshan,2,58.9,0,32938
shijingshan,3,70,0,32858
shijingshan,2,58.63,0,32407
shijingshan,2,54.03,0,32020
shijingshan,3,57.18,0,31480
shijingshan,3,69,0,31160
shijingshan,2,65,0,30770
shijingshan,2,65.22,0,30666
shijingshan,3,68.41,0,29967
shijingshan,1,40,0,38000
shijingshan,1,53,0,37359
shijingshan,2,72.71,0,37134
shijingshan,1,58.25,0,36910
shijingshan,1,55,0,36000
shijingshan,2,58,0,31035
shijingshan,3,69,0,22464
shijingshan,2,55,0,19091
shijingshan,1,26.96,0,38947
shijingshan,2,52.72,0,34523
shijingshan,2,57.46,0,46120
shijingshan,3,89.3,0,40874
shijingshan,3,80.97,0,40756
shijingshan,1,53,0,40567
shijingshan,2,64.92,0,40050
shijingshan,2,57.46,0,39854
shijingshan,2,84.43,0,37902
shijingshan,3,90.07,0,37194
shijingshan,2,62,0,36291
shijingshan,1,55.5,0,36037
shijingshan,2,57.97,0,35881
shijingshan,1,46.4,0,35561
shijingshan,2,79.29,0,35314
shijingshan,2,56.77,0,35230
shijingshan,3,110.9,0,35167
shijingshan,2,85.36,0,34209
shijingshan,2,80.07,0,33721
shijingshan,2,81.96,0,33553
shijingshan,1,55.77,0,33172
shijingshan,2,80.07,0,32472
shijingshan,2,81.09,0,29351
shijingshan,2,61.38,0,43337
shijingshan,2,57.64,0,38168
shijingshan,2,61.8,0,37703
shijingshan,2,63.58,0,36962
shijingshan,2,56.82,0,36079
shijingshan,2,53.95,0,35589
shijingshan,2,66.4,1,35392
shijingshan,1,46.68,0,35348
shijingshan,2,46,0,34783
shijingshan,3,86.6,0,34643
shijingshan,3,124,0,32259
shijingshan,3,84.61,0,31912
shijingshan,2,54.04,0,28128
shijingshan,2,54.52,0,42187
shijingshan,2,58,0,41380
shijingshan,2,58.76,0,40845
shijingshan,2,59,0,39831
shijingshan,2,58,0,38794
shijingshan,2,58.08,0,38740
shijingshan,2,58.3,0,38594
shijingshan,2,60.93,0,38569
shijingshan,2,57.61,0,38188
shijingshan,2,59,0,38136
shijingshan,1,50,0,38000
shijingshan,2,60.77,0,36203
shijingshan,2,58.6,0,35837
shijingshan,2,73,0,35617
shijingshan,2,60.77,1,35380
shijingshan,2,59.6,0,35235
shijingshan,2,58.87,0,35163
shijingshan,2,58.45,0,35073
shijingshan,2,58.59,0,34989
shijingshan,2,73,0,32192
shijingshan,2,72.73,0,31624
shijingshan,2,59,0,30848
haidian,2,57.97,1,77627
haidian,2,55.4,1,75452
haidian,1,43.6,1,73395
haidian,2,56.3,1,72825
haidian,3,79.3,1,71879
haidian,3,68,1,71030
haidian,2,56.1,1,70945
haidian,2,54,1,70371
haidian,2,56.9,1,68542
haidian,1,47.59,1,66401
haidian,3,68.4,1,65790
haidian,2,57.2,1,62063
chaoyang,2,62.5,0,40320
chaoyang,2,80.9,0,38567
haidian,3,65.24,1,109596
xicheng,2,181,0,71824
xicheng,2,58.7,1,76661
xicheng,2,58.6,1,75086
xicheng,2,60,1,75000
xicheng,2,58.71,1,74093
xicheng,2,59.16,1,72685
xicheng,2,58.7,1,72062
xicheng,2,53.76,1,74405
xicheng,2,54,1,70371
xicheng,1,30.67,0,84774
xicheng,2,72.91,0,72693
xicheng,1,59.7,0,72027
xicheng,2,76,0,66448
xicheng,2,62,0,64517
xicheng,3,127.12,0,79925
xicheng,2,97.73,0,61394
dongcheng,2,57.68,1,70215
dongcheng,2,57.86,1,60491
xicheng,1,36.9,1,113822
xicheng,2,63.5,1,106772
xicheng,2,48.1,1,106030
xicheng,2,64.5,1,102326
xicheng,2,59.2,1,101352
xicheng,2,53.3,1,99438
xicheng,2,53.3,1,99438
xicheng,2,63.5,1,99213
xicheng,2,49,1,97960
xicheng,2,64.5,1,97675
xicheng,1,53.8,1,96655
xicheng,1,52.8,1,96591
xicheng,2,54.9,1,95629
xicheng,2,55.7,1,95153
xicheng,2,55,1,94910
xicheng,2,68,1,92648
xicheng,1,57.1,1,91069
xicheng,2,73.7,1,90231
xicheng,2,59,1,89831
xicheng,3,81.4,1,88453
xicheng,1,57.4,1,83624
xicheng,3,89.3,1,81747
xicheng,3,63,1,97620
xicheng,2,53.2,1,95865
xicheng,2,53.2,1,93610
xicheng,2,57.8,1,92561
xicheng,2,57.8,1,89966
xicheng,3,69.7,1,86801
xicheng,2,119.38,0,79997
xicheng,3,109,0,79817
xicheng,3,120,0,77917
xicheng,1,68,1,75000
xicheng,2,54.03,0,80511
xicheng,2,57.71,0,75377
xicheng,2,62.1,1,80516
xicheng,2,62.1,1,75685
xicheng,2,62.44,1,72870
xicheng,2,62.1,1,71659
xicheng,2,58.72,0,70675
xicheng,2,79.28,0,66852
xicheng,2,79.28,0,64960
xicheng,2,65.83,1,78992
xicheng,2,61,1,78689
xicheng,2,60.02,1,76642
xicheng,2,60.17,1,74789
fengtai,2,77.43,0,56309
fengtai,2,82.11,0,54805
fengtai,2,78.34,0,53613
fengtai,1,59.16,0,52401
fengtai,3,93.24,0,48907
chaoyang,1,60.61,0,39598
chaoyang,3,147.2,0,38723
chaoyang,2,97.04,0,38129
chaoyang,3,138.6,0,34993
chaoyang,3,139.66,0,49406
chaoyang,3,125.56,0,47786
chaoyang,3,125.56,0,47786
chaoyang,3,139.7,0,46529
chaoyang,3,125.59,0,46183
chaoyang,1,57.46,0,45249
chaoyang,2,112,0,42858
chaoyang,3,126,0,42302
chaoyang,2,109.59,0,41975
chaoyang,2,111.71,0,41179
chaoyang,2,109.59,0,41063
haidian,2,71,0,75353
haidian,2,72.4,0,71824
xicheng,2,70.4,1,79546
xicheng,2,59.5,1,97479
xicheng,1,55,0,81819
xicheng,2,56.41,0,89878
xicheng,1,40.4,0,98515
xicheng,2,53,0,97170
xicheng,1,40.4,0,90100
haidian,2,90.36,0,70275
haidian,3,164.46,0,66886
haidian,2,122,0,59837
haidian,2,106,0,59434
haidian,4,223.87,0,56730
haidian,4,165,0,55758
haidian,2,114.55,0,67220
haidian,2,114.73,0,66679
haidian,2,114.27,0,65197
haidian,2,122,0,60656
haidian,3,168.17,0,60356
haidian,5,245.2,0,59136
haidian,3,161.76,1,58111
haidian,1,55.24,0,85989
haidian,1,57,0,85088
haidian,1,57.39,0,83639
haidian,1,58,0,83621
haidian,1,56.43,0,80631
haidian,1,56.5,0,80531
haidian,1,57,0,79825
haidian,1,57.91,0,78225
haidian,2,71,0,77465
haidian,2,76.51,0,73194
haidian,2,75.06,0,71943
haidian,2,78,0,71795
haidian,2,78,0,70513
haidian,2,81.05,0,69094
haidian,3,95.75,0,63708
haidian,2,85,1,62353
chaoyang,2,100.43,0,45804
chaoyang,2,98.74,0,45575
chaoyang,2,102.89,0,40335
chaoyang,1,62.18,0,38598
chaoyang,2,102.81,0,37448
chaoyang,3,134,0,41045
chaoyang,1,63,0,38889
chaoyang,1,64,0,38282
chaoyang,3,132,0,38258
chaoyang,2,114,0,37544
chaoyang,1,63.56,0,37288
chaoyang,2,99,0,46465
chaoyang,2,111,0,37838
chaoyang,3,126.12,0,51539
chaoyang,3,140.2,0,49787
chaoyang,2,103.07,0,48026
chaoyang,2,102,0,47059
chaoyang,2,103.82,0,46812
chaoyang,1,51,0,45687
chaoyang,2,111.54,0,43572
chaoyang,2,111.96,0,42873
chaoyang,3,129,0,42636
chaoyang,2,112,0,42411
chaoyang,2,103.7,0,41948
chaoyang,1,57.89,0,41113
chaoyang,2,94.92,0,41088
chaoyang,2,100,0,40800
chaoyang,1,66.51,0,40596
chaoyang,2,93.66,0,40573
chaoyang,1,60.8,0,39803
chaoyang,1,60.67,0,39724
chaoyang,2,93.28,0,39666
chaoyang,1,58,0,39656
chaoyang,3,154.33,0,38878
chaoyang,2,99,0,38384
chaoyang,1,71.68,0,38086
chaoyang,2,109.8,0,36613
chaoyang,2,97.87,0,34740
chaoyang,3,150.56,0,48818
chaoyang,3,151,0,48345
chaoyang,1,63.94,0,45512
chaoyang,1,67,0,44777
chaoyang,2,103,0,44661
chaoyang,2,102.15,0,44249
chaoyang,1,67.13,0,43945
chaoyang,1,71.64,0,41877
chaoyang,4,213,0,41785
chaoyang,2,93.46,0,41730
chaoyang,2,94.25,0,41380
chaoyang,3,148.63,0,49116
chaoyang,1,67.09,0,43971
chaoyang,2,94,0,42554
chaoyang,1,67,0,42538
chaoyang,2,95,0,42106
chaoyang,1,68,0,41912
chaoyang,3,150.23,0,48925
chaoyang,1,50.08,0,47924
chaoyang,1,54.23,0,47576
chaoyang,2,100.35,0,47534
chaoyang,2,100.73,0,47156
chaoyang,1,54.22,0,45740
chaoyang,2,122.83,0,45185
chaoyang,1,67,0,43284
dongcheng,1,43.17,0,89183
dongcheng,2,65.94,1,87959
dongcheng,2,60.68,0,87344
dongcheng,2,60.68,1,87014
dongcheng,1,43.17,0,83392
dongcheng,2,59.99,1,83348
dongcheng,3,71.64,1,83055
dongcheng,3,62.16,0,82047
dongcheng,2,60.46,0,81046
dongcheng,2,60.68,0,80752
dongcheng,1,46.57,1,88040
dongcheng,2,52.09,1,71031
chaoyang,4,168.83,0,27247
dongcheng,3,69,1,81160
dongcheng,1,43,1,72094
dongcheng,1,21.3,0,103287
dongcheng,1,36.81,0,84217
dongcheng,5,503.74,0,83377
haidian,1,40.9,1,51345
haidian,2,46.05,1,92291
haidian,2,46.05,1,90120
haidian,3,77.78,1,89998
haidian,2,51.28,1,87754
haidian,2,49.72,1,87692
haidian,3,87,1,87357
haidian,2,71.44,1,86087
haidian,2,71.44,1,84687
xicheng,1,40.28,1,88382
xicheng,1,41,1,82927
xicheng,2,61,1,55738
xicheng,3,128.58,1,74662
xicheng,2,128.28,1,66262
chaoyang,1,58,1,72414
chaoyang,1,54.8,1,68431
haidian,3,321,0,46729
dongcheng,2,59.5,1,70589
dongcheng,3,158.37,0,101030
dongcheng,2,88.48,0,41818
dongcheng,1,53.14,0,41401
dongcheng,3,98.86,0,41271
dongcheng,2,73.35,0,40900
dongcheng,2,91.12,0,40058
dongcheng,3,102.17,0,39934
dongcheng,2,80.27,0,39866
dongcheng,2,80.41,0,39797
dongcheng,1,63.18,0,38779
dongcheng,1,66.62,0,38728
dongcheng,2,80.27,0,37997
dongcheng,3,89.6,0,37947
dongcheng,4,161.04,0,37879
dongcheng,2,81,0,37655
dongcheng,2,79.91,0,37543
dongcheng,2,79.91,0,37543
dongcheng,2,73.35,0,37492
dongcheng,3,161,0,37019
dongcheng,1,67,0,37015
dongcheng,2,91.32,0,36137
dongcheng,2,88,0,35228
dongcheng,2,89.5,0,34637
dongcheng,1,68,0,34559
dongcheng,2,87.38,0,34333
dongcheng,3,177.72,0,28135
fengtai,1,60,1,35000
fengtai,1,59.37,0,34530
fengtai,4,135,0,34075
fengtai,1,60,0,33334
fengtai,1,40.94,0,32976
fengtai,3,126.86,1,32950
fengtai,3,126.86,0,32556
fengtai,1,61.12,0,31905
fengtai,3,130.11,0,30744
fengtai,1,52.61,0,29463
dongcheng,3,211.07,0,54959
dongcheng,3,211,0,52133
dongcheng,3,266.93,0,52074
dongcheng,3,210.72,0,47457
haidian,3,111.87,0,52293
haidian,2,106,0,51887
haidian,2,99.26,0,49366
haidian,2,101.7,1,48870
haidian,2,86.42,0,48600
haidian,2,101.92,0,48077
haidian,1,68.16,0,46949
haidian,3,125,0,43200
haidian,1,53.09,0,55001
haidian,2,68,0,54412
haidian,2,71.5,0,53847
